gu,Date,offense,Count
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2022-05-01,ILLEGAL POSSESSION OF FIREARM,2
RIVERSIDE,2022-05-01,COMPUTER FRAUD,4
SAN ISIDRO,2022-05-01,IDENTITY THEFT,4
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2022-05-01,MURDER,4
MALAGOS,2022-05-01,ILLEGAL POSSESSION OF FIREARM,5
ILANG,2022-05-01,VANDALISM,7
BARANGAY 3-A (POB.),2022-05-01,IDENTITY THEFT,3
MAGSAYSAY,2022-05-01,DRUNK DRIVING,5
WINES,2022-05-01,UNAUTHORIZED ACCESS,2
40-D BOLTON ISLA,2022-05-01,DISTURBANCE,5
TUNGKALAN,2022-05-01,CYBER LIBEL,3
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2022-05-01,MURDER,6
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2022-05-01,HACKING,3
MALABOG,2022-05-01,MURDER,5
BUNAWAN (POB.),2022-05-01,VANDALISM,2
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2022-05-01,IDENTITY THEFT,4
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-05-01,UNAUTHORIZED ACCESS,4
SIRIB,2022-05-01,DRUNK DRIVING,3
BARANGAY 26-C,2022-05-01,DRUNK DRIVING,3
PAMPANGA,2022-05-01,THEFT,7
RIVERSIDE,2022-05-01,UNAUTHORIZED ACCESS,2
SALAPAWAN,2022-05-01,THEFT,6
BAO JOAQUIN,2022-05-01,THEFT,6
CARMEN,2022-05-01,DISTURBANCE,7
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2022-05-01,THEFT,2
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2022-05-01,PHYSICAL INJURY,4
TAPAK,2022-05-01,ILLEGAL POSSESSION OF FIREARM,5
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2022-05-01,ONLINE SCAM,4
VICENTE HIZON SR.,2022-05-01,ILLEGAL DRUGS,3
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-05-01,IDENTITY THEFT,2
CALINAN (POB.),2022-05-01,ILLEGAL POSSESSION OF FIREARM,3
40-D BOLTON ISLA,2022-05-01,RAPE,6
MALABOG,2022-05-01,ONLINE SCAM,4
MARAPANGI,2022-05-01,ILLEGAL POSSESSION OF FIREARM,2
ULA,2022-05-01,IDENTITY THEFT,1
PAMPANGA,2022-05-01,MURDER,3
76-A BUCANA,2022-05-01,RAPE,7
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-05-01,ILLEGAL DRUGS,4
PAQUIBATO (POB.),2022-05-01,THREATS,3
ILANG,2022-05-01,COMPUTER FRAUD,2
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2022-05-01,ONLINE SCAM,3
SASA,2022-05-01,ILLEGAL GAMBLING,4
MALABOG,2022-05-01,ILLEGAL GAMBLING,2
MATINA PANGI,2022-05-01,COMPUTER FRAUD,4
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2022-05-01,DISTURBANCE,4
BARANGAY 38-D (OB.),2022-05-01,RAPE,3
LACSON,2022-05-01,MURDER,6
TUNGKALAN,2022-05-01,THREATS,6
MAHAYAG,2022-05-01,CYBER LIBEL,1
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2022-05-01,DISTURBANCE,2
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2022-05-01,DISTURBANCE,2
WANGAN,2022-05-01,DRUNK DRIVING,6
BARANGAY 28-C,2022-05-01,UNAUTHORIZED ACCESS,3
VICENTE HIZON SR.,2022-05-01,UNAUTHORIZED ACCESS,4
DALIAO,2022-05-01,PHYSICAL INJURY,5
TIBUNGCO,2022-05-01,MURDER,4
TAMUGAN,2022-05-01,RAPE,5
SALAPAWAN,2022-05-01,COMPUTER FRAUD,3
TIBUNGCO,2022-05-01,DISTURBANCE,4
MALABOG,2022-05-01,COMPUTER FRAUD,4
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2022-05-01,CYBER LIBEL,4
BARANGAY 14-B,2022-05-01,ILLEGAL GAMBLING,6
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2022-05-01,ILLEGAL DRUGS,7
LIZADA,2022-05-01,THREATS,4
SASA,2022-05-01,MURDER,2
RIVERSIDE,2022-06-01,CYBER LIBEL,2
SALUMAY,2022-06-01,HACKING,1
CARMEN,2022-06-01,CYBER LIBEL,4
BARANGAY 3-A (POB.),2022-06-01,MURDER,4
DALIAO,2022-06-01,PHYSICAL INJURY,2
SANTO NINO,2022-06-01,PHYSICAL INJURY,5
ALFONSO ANGLIONGTO SR,2022-06-01,MURDER,7
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2022-06-01,DATA BREACH,2
BARANGAY 26-C,2022-06-01,UNAUTHORIZED ACCESS,4
SANTO NINO,2022-06-01,DRUNK DRIVING,5
EDEN,2022-06-01,ILLEGAL POSSESSION OF FIREARM,6
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2022-06-01,DATA BREACH,2
BARANGAY 32-D,2022-06-01,VANDALISM,2
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2022-06-01,DISTURBANCE,4
FATIMA (BENOWANG),2022-06-01,ILLEGAL POSSESSION OF FIREARM,7
WINES,2022-06-01,ILLEGAL DRUGS,6
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-06-01,ROBBERY,6
TALOMO RIVER,2022-06-01,ILLEGAL GAMBLING,7
PAQUIBATO (POB.),2022-06-01,IDENTITY THEFT,2
TAMAYONG,2022-06-01,ROBBERY,3
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2022-06-01,RAPE,7
TUGBOK (POB.),2022-06-01,RAPE,5
BARANGAY 27-C,2022-06-01,IDENTITY THEFT,2
COMMUNAL,2022-06-01,DRUNK DRIVING,3
MATINA PANGI,2022-06-01,ILLEGAL GAMBLING,7
BARANGAY 3-A (POB.),2022-06-01,CYBER LIBEL,1
BARANGAY 37-D,2022-06-01,ILLEGAL DRUGS,2
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2022-06-01,ONLINE SCAM,3
40-D BOLTON ISLA,2022-06-01,THEFT,2
ILANG,2022-06-01,MURDER,3
WANGAN,2022-06-01,IDENTITY THEFT,4
BARANGAY 23-C,2022-06-01,CYBER LIBEL,2
COMMUNAL,2022-06-01,PHYSICAL INJURY,6
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2022-06-01,DISTURBANCE,4
SALOY,2022-06-01,THEFT,2
40-D BOLTON ISLA,2022-06-01,CYBER LIBEL,1
ILANG,2022-06-01,DATA BREACH,4
BANTOL,2022-06-01,ILLEGAL DRUGS,2
BARANGAY 28-C,2022-06-01,THREATS,5
BARANGAY 28-C,2022-06-01,RAPE,4
MALAGOS,2022-06-01,VANDALISM,4
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2022-06-01,ILLEGAL DRUGS,7
BARANGAY 2-A (POB.),2022-06-01,RAPE,5
BARANGAY 26-C,2022-06-01,DISTURBANCE,5
BUHANGIN (POB.),2022-06-01,COMPUTER FRAUD,2
MARILOG,2022-06-01,DATA BREACH,2
CATALUNAN GRANDE,2022-06-01,ILLEGAL DRUGS,6
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2022-06-01,HACKING,1
LACSON,2022-06-01,PHYSICAL INJURY,3
MALAGOS,2022-06-01,HACKING,3
74-A (MATINA CROSSING),2022-06-01,ILLEGAL DRUGS,5
TAMBOBONG,2022-06-01,ILLEGAL GAMBLING,2
TIBUNGCO,2022-06-01,PHYSICAL INJURY,6
MAHAYAG,2022-06-01,DATA BREACH,3
MABUHAY,2022-06-01,THREATS,3
MULIG,2022-06-01,COMPUTER FRAUD,4
COMMUNAL,2022-06-01,ROBBERY,7
BUNAWAN (POB.),2022-06-01,DRUNK DRIVING,4
BUDA,2022-06-01,PHYSICAL INJURY,3
BARANGAY 11-A,2022-06-01,COMPUTER FRAUD,2
TACUNAN,2022-06-01,VANDALISM,5
BAYABAS,2022-06-01,CYBER LIBEL,1
BARANGAY 39-D (POB.),2022-06-01,COMPUTER FRAUD,2
ULA,2022-06-01,ILLEGAL GAMBLING,2
"INDANGAN (BRGY UNDER PS 13, DCPO)",2022-06-01,ROBBERY,2
"MANDUG (BRGY UNDER PS 13, DCPO)",2022-06-01,RAPE,4
BARANGAY 28-C,2022-06-01,RAPE,6
BARANGAY 38-D (OB.),2022-06-01,HACKING,4
PANACAN,2022-06-01,HACKING,1
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2022-06-01,DRUNK DRIVING,3
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2022-06-01,COMPUTER FRAUD,2
SUBASTA,2022-06-01,RAPE,5
CATALUNAN GRANDE,2022-06-01,CYBER LIBEL,4
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2022-06-01,VANDALISM,6
BINUGAO,2022-06-01,RAPE,5
LUBOGAN,2022-06-01,RAPE,2
SALUMAY,2022-06-01,VANDALISM,2
TAMBOBONG,2022-06-01,THREATS,2
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2022-06-01,RAPE,5
BARANGAY 28-C,2022-07-01,DRUNK DRIVING,5
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2022-07-01,THEFT,2
SIRIB,2022-07-01,ROBBERY,4
COMMUNAL,2022-07-01,MURDER,7
TAMAYONG,2022-07-01,ONLINE SCAM,2
PANALUM,2022-07-01,PHYSICAL INJURY,7
PAMPANGA,2022-07-01,RAPE,4
TALOMO (POB.),2022-07-01,COMPUTER FRAUD,1
BARANGAY 17-B,2022-07-01,COMPUTER FRAUD,2
SALAPAWAN,2022-07-01,DATA BREACH,3
TUNGKALAN,2022-07-01,ILLEGAL DRUGS,6
WANGAN,2022-07-01,ILLEGAL POSSESSION OF FIREARM,7
MABUHAY,2022-07-01,PHYSICAL INJURY,3
SALAPAWAN,2022-07-01,COMPUTER FRAUD,4
TAMBOBONG,2022-07-01,ROBBERY,5
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2022-07-01,DATA BREACH,1
TAMUGAN,2022-07-01,DRUNK DRIVING,7
SUBASTA,2022-07-01,DATA BREACH,2
CALINAN (POB.),2022-07-01,DISTURBANCE,5
PANALUM,2022-07-01,PHYSICAL INJURY,6
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2022-07-01,DATA BREACH,1
SANTO NINO,2022-07-01,ILLEGAL POSSESSION OF FIREARM,3
SASA,2022-07-01,DISTURBANCE,6
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2022-07-01,VANDALISM,3
MAGSAYSAY,2022-07-01,THREATS,2
FATIMA (BENOWANG),2022-07-01,DRUNK DRIVING,2
BARANGAY 13-B,2022-07-01,RAPE,6
MAPI-ILA,2022-07-01,ILLEGAL DRUGS,2
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-07-01,ILLEGAL DRUGS,2
LACSON,2022-07-01,THEFT,5
MATINA PANGI,2022-07-01,HACKING,1
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2022-07-01,RAPE,5
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2022-07-01,PHYSICAL INJURY,5
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2022-07-01,MURDER,5
PANACAN,2022-07-01,UNAUTHORIZED ACCESS,2
SIRIB,2022-07-01,DRUNK DRIVING,6
SALUMAY,2022-07-01,THREATS,5
SANTO NINO,2022-07-01,VANDALISM,4
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2022-07-01,ROBBERY,2
ULA,2022-07-01,ILLEGAL DRUGS,3
MALABOG,2022-07-01,RAPE,2
BARANGAY 2-A (POB.),2022-07-01,IDENTITY THEFT,1
LUBOGAN,2022-07-01,ROBBERY,3
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2022-07-01,DISTURBANCE,3
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2022-07-01,IDENTITY THEFT,1
SALAPAWAN,2022-07-01,IDENTITY THEFT,2
LIZADA,2022-07-01,DRUNK DRIVING,5
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2022-07-01,RAPE,3
BARANGAY 22-C,2022-07-01,THREATS,3
TAPAK,2022-07-01,RAPE,2
DALIAO,2022-07-01,CYBER LIBEL,1
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-07-01,ILLEGAL DRUGS,2
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2022-07-01,ILLEGAL POSSESSION OF FIREARM,4
MABUHAY,2022-07-01,CYBER LIBEL,3
TAPAK,2022-07-01,HACKING,4
BARANGAY 13-B,2022-07-01,VANDALISM,5
PANALUM,2022-07-01,UNAUTHORIZED ACCESS,3
VICENTE HIZON SR.,2022-07-01,VANDALISM,7
BARANGAY 23-C,2022-07-01,CYBER LIBEL,2
BARANGAY 2-A (POB.),2022-07-01,CYBER LIBEL,4
FATIMA (BENOWANG),2022-07-01,IDENTITY THEFT,4
PANACAN,2022-07-01,DISTURBANCE,5
TUNGKALAN,2022-07-01,IDENTITY THEFT,4
SAN ISIDRO,2022-07-01,THREATS,2
SAN ISIDRO,2022-07-01,DRUNK DRIVING,7
COMMUNAL,2022-07-01,DRUNK DRIVING,5
MARAPANGI,2022-07-01,ONLINE SCAM,1
BARANGAY 22-C,2022-07-01,ILLEGAL POSSESSION OF FIREARM,2
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2022-07-01,ROBBERY,6
BARANGAY 18-B,2022-07-01,IDENTITY THEFT,2
76-A BUCANA,2022-07-01,DATA BREACH,2
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2022-07-01,ROBBERY,4
SANTO NINO,2022-07-01,UNAUTHORIZED ACCESS,4
BAGANIHAN,2022-08-01,RAPE,7
BARANGAY 39-D (POB.),2022-08-01,VANDALISM,7
BANTOL,2022-08-01,IDENTITY THEFT,4
MINTAL,2022-08-01,MURDER,5
SANTO NINO,2022-08-01,DISTURBANCE,6
TACUNAN,2022-08-01,CYBER LIBEL,2
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2022-08-01,ONLINE SCAM,1
SALOY,2022-08-01,DISTURBANCE,4
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2022-08-01,ROBBERY,7
"MANDUG (BRGY UNDER PS 13, DCPO)",2022-08-01,THEFT,2
BAGO OSHIRO,2022-08-01,DISTURBANCE,5
LASANG,2022-08-01,IDENTITY THEFT,1
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2022-08-01,THEFT,4
"ACACIA (BRGY UNDER PS 13, DCPO)",2022-08-01,COMPUTER FRAUD,1
LIZADA,2022-08-01,CYBER LIBEL,3
PANACAN,2022-08-01,THEFT,6
BUNAWAN (POB.),2022-08-01,THREATS,6
LIZADA,2022-08-01,RAPE,6
BARANGAY 39-D (POB.),2022-08-01,UNAUTHORIZED ACCESS,1
BARANGAY 37-D,2022-08-01,ILLEGAL GAMBLING,5
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2022-08-01,THREATS,2
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2022-08-01,ILLEGAL DRUGS,4
SANTO NINO,2022-08-01,ILLEGAL GAMBLING,5
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,THEFT,6
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2022-08-01,RAPE,2
"MANDUG (BRGY UNDER PS 13, DCPO)",2022-08-01,PHYSICAL INJURY,6
MALAGOS,2022-08-01,ILLEGAL POSSESSION OF FIREARM,4
FATIMA (BENOWANG),2022-08-01,CYBER LIBEL,4
CAWAYAN,2022-08-01,DISTURBANCE,5
"MANDUG (BRGY UNDER PS 13, DCPO)",2022-08-01,MURDER,5
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,VANDALISM,6
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2022-08-01,COMPUTER FRAUD,4
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-08-01,PHYSICAL INJURY,2
EDEN,2022-08-01,PHYSICAL INJURY,5
BARANGAY 39-D (POB.),2022-08-01,MURDER,2
BARANGAY 3-A (POB.),2022-08-01,IDENTITY THEFT,2
BAGANIHAN,2022-08-01,MURDER,6
COMMUNAL,2022-08-01,ILLEGAL POSSESSION OF FIREARM,7
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,UNAUTHORIZED ACCESS,2
MINTAL,2022-08-01,CYBER LIBEL,2
WANGAN,2022-08-01,VANDALISM,5
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,PHYSICAL INJURY,4
SALAYSAY,2022-08-01,THEFT,3
SAN ISIDRO,2022-08-01,MURDER,3
COMMUNAL,2022-08-01,UNAUTHORIZED ACCESS,2
BARANGAY 39-D (POB.),2022-08-01,MURDER,5
BUHANGIN (POB.),2022-08-01,THEFT,7
MINTAL,2022-08-01,IDENTITY THEFT,3
TALOMO (POB.),2022-08-01,VANDALISM,4
MAPI-ILA,2022-08-01,THREATS,5
LACSON,2022-08-01,ONLINE SCAM,4
MARILOG,2022-08-01,DRUNK DRIVING,4
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,HACKING,2
MALABOG,2022-08-01,DISTURBANCE,3
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,ONLINE SCAM,4
TUNGKALAN,2022-08-01,COMPUTER FRAUD,4
TAMBOBONG,2022-08-01,DISTURBANCE,3
"INDANGAN (BRGY UNDER PS 13, DCPO)",2022-08-01,ILLEGAL DRUGS,4
CABANTIAN,2022-08-01,UNAUTHORIZED ACCESS,2
PANALUM,2022-08-01,RAPE,7
MAPI-ILA,2022-08-01,THEFT,2
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,ILLEGAL GAMBLING,3
LACSON,2022-08-01,UNAUTHORIZED ACCESS,2
BARANGAY 27-C,2022-08-01,ROBBERY,5
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,COMPUTER FRAUD,1
BARANGAY 39-D (POB.),2022-08-01,IDENTITY THEFT,3
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,HACKING,3
CAWAYAN,2022-08-01,DISTURBANCE,6
"INDANGAN (BRGY UNDER PS 13, DCPO)",2022-08-01,RAPE,2
BARANGAY 38-D (OB.),2022-08-01,DRUNK DRIVING,2
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2022-08-01,MURDER,2
BUNAWAN (POB.),2022-08-01,COMPUTER FRAUD,4
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2022-08-01,CYBER LIBEL,3
CARMEN,2022-08-01,DRUNK DRIVING,5
DALIAO,2022-08-01,DRUNK DRIVING,6
MAHAYAG,2022-08-01,ONLINE SCAM,3
BARANGAY 32-D,2022-08-01,DRUNK DRIVING,3
NEW VALENCIA,2022-09-01,ONLINE SCAM,3
"ACACIA (BRGY UNDER PS 13, DCPO)",2022-09-01,PHYSICAL INJURY,2
MALABOG,2022-09-01,ILLEGAL GAMBLING,4
ILANG,2022-09-01,ROBBERY,5
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2022-09-01,ILLEGAL POSSESSION OF FIREARM,3
BARANGAY 32-D,2022-09-01,PHYSICAL INJURY,5
DALIAO,2022-09-01,HACKING,3
BINUGAO,2022-09-01,ROBBERY,3
BARANGAY 3-A (POB.),2022-09-01,CYBER LIBEL,4
MARAPANGI,2022-09-01,MURDER,4
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2022-09-01,ONLINE SCAM,4
ILANG,2022-09-01,DRUNK DRIVING,2
SAN ISIDRO,2022-09-01,UNAUTHORIZED ACCESS,2
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2022-09-01,CYBER LIBEL,3
BUHANGIN (POB.),2022-09-01,VANDALISM,7
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2022-09-01,ROBBERY,3
TIGATTO,2022-09-01,ILLEGAL POSSESSION OF FIREARM,7
BARANGAY 17-B,2022-09-01,DISTURBANCE,3
SIRIB,2022-09-01,THEFT,4
BARANGAY 18-B,2022-09-01,ILLEGAL POSSESSION OF FIREARM,3
BAYABAS,2022-09-01,PHYSICAL INJURY,4
MALABOG,2022-09-01,RAPE,7
SUBASTA,2022-09-01,THEFT,6
BARANGAY 14-B,2022-09-01,VANDALISM,6
BARANGAY 22-C,2022-09-01,RAPE,3
TAMAYONG,2022-09-01,ROBBERY,7
BAYABAS,2022-09-01,DISTURBANCE,4
BARANGAY 22-C,2022-09-01,RAPE,5
PAQUIBATO (POB.),2022-09-01,MURDER,6
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2022-09-01,DISTURBANCE,5
TALOMO (POB.),2022-09-01,ROBBERY,5
TALOMO RIVER,2022-09-01,UNAUTHORIZED ACCESS,2
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2022-09-01,DISTURBANCE,5
BARANGAY 5-A (POB.),2022-09-01,UNAUTHORIZED ACCESS,4
BAGUIO PROPER,2022-09-01,COMPUTER FRAUD,2
CAWAYAN,2022-09-01,UNAUTHORIZED ACCESS,3
BAO JOAQUIN,2022-09-01,ILLEGAL GAMBLING,3
TUNGKALAN,2022-09-01,DISTURBANCE,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2022-09-01,ONLINE SCAM,4
TORII (POB.),2022-09-01,ROBBERY,5
RIVERSIDE,2022-09-01,IDENTITY THEFT,1
PAMPANGA,2022-09-01,THREATS,5
BAGUIO PROPER,2022-09-01,THEFT,6
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2022-09-01,RAPE,2
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2022-09-01,RAPE,2
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2022-09-01,THEFT,4
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2022-09-01,CYBER LIBEL,3
WANGAN,2022-09-01,ROBBERY,3
BANGKAS HEIGHTS,2022-09-01,COMPUTER FRAUD,4
TUGBOK (POB.),2022-09-01,DISTURBANCE,7
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2022-09-01,ONLINE SCAM,3
BAGO OSHIRO,2022-09-01,THREATS,4
ALFONSO ANGLIONGTO SR,2022-09-01,MURDER,2
CATALUNAN GRANDE,2022-09-01,PHYSICAL INJURY,6
BAO JOAQUIN,2022-09-01,CYBER LIBEL,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2022-09-01,ONLINE SCAM,2
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2022-09-01,ILLEGAL DRUGS,5
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2022-09-01,THREATS,6
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2022-09-01,HACKING,3
MULIG,2022-09-01,COMPUTER FRAUD,1
WANGAN,2022-09-01,VANDALISM,6
BARANGAY 38-D (OB.),2022-09-01,RAPE,7
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2022-09-01,ILLEGAL DRUGS,6
BINUGAO,2022-09-01,ILLEGAL GAMBLING,4
BAO JOAQUIN,2022-09-01,ILLEGAL GAMBLING,5
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2022-09-01,PHYSICAL INJURY,3
CAWAYAN,2022-09-01,ROBBERY,5
ILANG,2022-09-01,DRUNK DRIVING,3
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2022-09-01,IDENTITY THEFT,2
BARANGAY 11-A,2022-09-01,MURDER,3
BARANGAY 18-B,2022-09-01,VANDALISM,4
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2022-09-01,PHYSICAL INJURY,4
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2022-09-01,RAPE,2
BANTOL,2022-09-01,ILLEGAL POSSESSION OF FIREARM,6
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2022-09-01,ILLEGAL DRUGS,4
TUNGKALAN,2022-09-01,ILLEGAL DRUGS,7
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2022-09-01,UNAUTHORIZED ACCESS,1
BANTOL,2022-09-01,PHYSICAL INJURY,6
WANGAN,2022-09-01,PHYSICAL INJURY,3
LAMANAN,2022-09-01,HACKING,3
DALIAO,2022-10-01,PHYSICAL INJURY,5
MARILOG,2022-10-01,MURDER,2
SUAWAN (TULI),2022-10-01,RAPE,5
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2022-10-01,PHYSICAL INJURY,4
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2022-10-01,THREATS,2
BARANGAY 17-B,2022-10-01,RAPE,2
BARANGAY 3-A (POB.),2022-10-01,ILLEGAL POSSESSION OF FIREARM,5
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2022-10-01,MURDER,2
TUGBOK (POB.),2022-10-01,ILLEGAL POSSESSION OF FIREARM,7
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2022-10-01,THREATS,6
CARMEN,2022-10-01,ONLINE SCAM,3
CAWAYAN,2022-10-01,DRUNK DRIVING,3
SANTO NINO,2022-10-01,HACKING,4
GUMALANG,2022-10-01,DISTURBANCE,5
ULA,2022-10-01,ILLEGAL DRUGS,4
PAQUIBATO (POB.),2022-10-01,ILLEGAL POSSESSION OF FIREARM,2
NEW VALENCIA,2022-10-01,CYBER LIBEL,3
SALAPAWAN,2022-10-01,DISTURBANCE,6
BARANGAY 11-A,2022-10-01,ILLEGAL GAMBLING,2
DALIAO,2022-10-01,DISTURBANCE,2
MAGSAYSAY,2022-10-01,ILLEGAL DRUGS,4
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2022-10-01,ILLEGAL DRUGS,5
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2022-10-01,HACKING,2
BANGKAS HEIGHTS,2022-10-01,CYBER LIBEL,2
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2022-10-01,ROBBERY,3
MARILOG,2022-10-01,UNAUTHORIZED ACCESS,1
BARANGAY 39-D (POB.),2022-10-01,ONLINE SCAM,1
PAQUIBATO (POB.),2022-10-01,THEFT,2
MULIG,2022-10-01,ONLINE SCAM,3
SIRIB,2022-10-01,ILLEGAL POSSESSION OF FIREARM,6
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2022-10-01,HACKING,2
TAMAYONG,2022-10-01,DRUNK DRIVING,2
BARANGAY 17-B,2022-10-01,DRUNK DRIVING,4
SALOY,2022-10-01,ILLEGAL DRUGS,7
CARMEN,2022-10-01,THREATS,3
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2022-10-01,ILLEGAL POSSESSION OF FIREARM,4
MARAPANGI,2022-10-01,IDENTITY THEFT,3
